Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"stopwatt energy saving device",2838,Electronics,FBA,"Large Standard-Size",3,69750,23.27,229,4812.69,860,3.89,2,11510,558,0,1,"Nov, 2023",2,195,11.81
"page turner for kindle paperwhite",2838,Electronics,FBA,"Large Standard-Size",1,17701,29.23,3318,104704.81,937,4.57,2,,,0,4,"Jan, 2024",3,147,10.62
"oneodio headphones",2838,Electronics,FBA,"Large Standard-Size",4,56938,47.77,3692,116008.13,12339,4.34,3,46319,100,13,0,"Jan, 2024",4,154,0.49
"samsung frame tv 55",2838,Electronics,FBA,"Small Oversize",17,97566,792.46,81,77957.53,324,4.31,4,1169,146,-102,6,"Nov, 2023",4,117,0.48
"fire 7 tablet",2838,Electronics,FBA,"Large Standard-Size",10,13542,64.32,1727,151205.71,4893,4.05,1,32721,,-6,1,"Dec, 2023",7,3000,1.14
"car touch screen",2838,Electronics,FBA,"Large Standard-Size",2,15144,90.11,611,51389.84,541,4.27,2,13101,22,-66,-2,"Dec, 2023",7,7000,2.32
"rca to aux",2838,Electronics,FBA,"Small Standard-Size",14,34203,6.5,1073,7213.45,9097,4.63,5,10121,62,74,0,"Jan, 2023",6,1000,1.64
"phono preamp for turntable",2838,Electronics,FBA,"Large Standard-Size",1,20216,73.31,256,13218.14,1214,4.45,4,2549,-17,116,0,"Mar, 2022",4,287,0.88
"jabra evolve 65",2838,Electronics,FBM,"Large Standard-Size",4,81034,183.83,250,29474.26,91,4.07,8,3365,186,0,-8,"Jan, 2024",4,245,3.76
"tablet ipad",2838,Electronics,FBA,"Large Standard-Size",5,17715,95.32,352,41567.76,1250,4.10,2,14172,99,-38,-1,"Jul, 2023",8,1000,0.29
"usb c hdmi",2838,Electronics,FBA,"Small Standard-Size",7,904,14.99,2474,37085.26,2537,4.40,1,41472,,27,10,"Jul, 2023",8,3000,0.98
"flat plug surge protector",2838,Electronics,FBA,"Large Standard-Size",5,641,17.3,12290,211488.59,9944,4.76,4,141427,-2,136,-5,"Jan, 2024",6,1000,4.17
wide300,2838,Electronics,FBA,"Large Standard-Size",1,46765,97.81,498,23687.94,1927,4.62,7,5705,644,-20,0,"May, 2022",1,377,0.37
"4k curved monitor",2838,Electronics,Amazon,"Small Oversize",5,10025,401.3,1294,462986.76,3640,4.40,8,12071,-15,0,3,"Nov, 2022",6,517,0.74
"iphone adapter for headphone jack",2838,Electronics,FBA,"Small Standard-Size",4,3344,8.37,5594,47020.18,17455,4.03,2,88378,,111,0,"Jan, 2024",6,1000,4.88
"furrion backup camera for rv",2838,Electronics,FBA,"Large Standard-Size",1,44795,256.83,185,35698.77,1216,4.50,11,3822,-22,-10,-12,"May, 2022",3,183,1.01
"airpod tips",2838,Electronics,FBA,"Small Standard-Size",6,4193,10.94,3593,35599.88,5361,4.22,2,46534,350,0,0,"Nov, 2023",7,710,2.57
"airpods pros",2838,Electronics,Amazon,"Large Standard-Size",3,3707,124.11,12474,1436312.02,96327,4.47,7,141472,,2,2,"Jan, 2024",9,1000,24.52
"sony walkman cassette player",2838,Electronics,FBA,"Large Standard-Size",1,44857,56.95,511,12831.78,1739,4.05,4,6525,-26,8,0,"Dec, 2023",4,187,2.57
tracki,2838,Electronics,FBA,"Large Standard-Size",1,24393,22.23,2323,41204.16,6465,4.16,2,39100,71,0,0,"Oct, 2023",4,103,2.28
"cassette recorder",2838,Electronics,FBA,"Large Standard-Size",1,25306,49.64,498,15625.6,1374,3.96,2,7129,177,8,0,"Mar, 2022",7,785,1.03
"hidden gps tracker for kids",2838,Electronics,FBA,"Large Standard-Size",3,32246,35.29,7308,326639.78,26694,4.27,2,140504,-17,0,0,"Jan, 2024",2,536,3.52
"bluetooth boombox",2838,Electronics,FBA,"Large Standard-Size",6,14476,92.41,850,76608.4,7133,4.42,3,13160,-17,-65,0,"Dec, 2023",7,830,0.58
"powerbeats pro ear tips",2838,Electronics,FBA,"Small Standard-Size",7,49960,8.66,381,3012.93,1126,4.42,2,4949,84,5,0,"Jan, 2023",2,250,3.44
"wall tv mount",2838,Electronics,FBA,"Large Standard-Size",1,1786,30.42,8257,258542.01,23347,4.69,2,58728,,32,1,"Apr, 2023",9,4000,1.03
"adaptador para iphone",2838,Electronics,FBA,"Small Standard-Size",4,4802,8.53,10958,108144.99,42314,4.06,3,133418,-14,-43,0,"Sep, 2023",5,496,1.68
"single board computer",2838,Electronics,FBA,"Large Standard-Size",2,221535,35,2,70,2,4.00,2,,,-37,0,"Oct, 2023",5,5000,1.00
"instax square",2838,Electronics,FBA,"Large Standard-Size",3,34100,87.01,586,27489.49,1784,4.63,8,7009,101,-54,0,"Dec, 2023",6,317,1.88
"external monitor",2838,Electronics,Amazon,"Small Oversize",5,1392,95.13,5265,512504.2,8883,4.57,5,80295,13,12,4,"Jan, 2024",6,1000,2.09
"bluetooth speaker loud",2838,Electronics,FBA,"Large Standard-Size",5,1970,54.28,4819,206989.6,29182,4.54,3,71153,17,0,3,"Dec, 2023",7,2000,0.77
"american bass 12 inch subwoofer",2838,Electronics,FBA,"Small Oversize",1,311412,283.45,15,1782.25,198,4.46,6,244,13,0,0,"Apr, 2022",3,173,0.14
"cable ties reusable",2838,Electronics,FBA,"Small Standard-Size",4,2559,8.91,3909,36844.05,5172,4.66,2,47481,-13,22,0,"Jan, 2024",5,2000,3.51
"android earbuds wireless bluetooth",2838,Electronics,FBA,"Large Standard-Size",8,1564,43.3,6836,305240.1,14273,4.54,3,116577,,0,4,"Jan, 2024",5,3000,2.61
"soporte para tv",2838,Electronics,FBA,"Large Standard-Size",3,6877,42.13,4007,131483.05,10901,4.53,2,73673,-19,-13,0,"Nov, 2023",5,394,0.84
"car multimedia player",2838,Electronics,FBA,"Large Standard-Size",2,26670,100.1,499,42603.37,893,4.09,2,10457,4,-59,-17,"Jan, 2024",4,2000,2.17
"smart tv 24 inch",2838,Electronics,FBA,"Small Oversize",5,14162,125.8,2128,184283.09,1949,4.31,4,11854,31,-38,12,"Jan, 2024",6,183,1.79
"wireless earbuds jbl",2838,Electronics,Amazon,"Large Standard-Size",7,4592,73.77,4119,271723.86,11191,4.27,6,46713,,0,56,"Nov, 2023",6,537,1.46
"360 camera for car",2838,Electronics,FBA,"Large Standard-Size",1,47621,173.58,1323,186180.74,1085,4.13,2,23415,48,0,0,"Jan, 2024",6,996,1.24
"plug in headphones",2838,Electronics,FBA,"Large Standard-Size",5,1997,12.98,5941,82936.77,31918,4.33,4,76107,120,0,0,"Aug, 2023",7,842,1.23
"car gps",2838,Electronics,FBA,"Large Standard-Size",2,12199,94.5,1965,57472.43,6542,4.07,7,30366,-10,0,-11,"Dec, 2023",9,8000,2.33
"apple watch women",2838,Electronics,Amazon,"Large Standard-Size",35,9048,271.75,2617,501307.67,5108,4.55,6,28121,173,40,-20,"Nov, 2023",9,303,1.01
"adhesive cable clips",2838,Electronics,FBA,"Large Standard-Size",5,4948,8.74,2989,29051.06,4113,4.42,2,23507,-18,182,0,"Jan, 2024",5,1000,6.44
"headphone covers",2838,Electronics,FBA,"Large Standard-Size",4,27127,12.67,295,3464.41,900,4.45,2,3477,241,241,0,"Jan, 2023",7,6000,1.75
"pc gaming monitor",2838,Electronics,Amazon,"Small Oversize",6,1936,149.17,3130,399554.13,6634,4.53,6,34584,42,-43,-9,"Dec, 2023",6,2000,0.98
"acer gaming monitor",2838,Electronics,Amazon,"Small Oversize",7,22702,158.83,1826,218107.18,8159,4.52,8,18657,142,0,1,"Dec, 2023",6,626,0.63
"color blind glasses for men",2838,Electronics,FBA,"Large Standard-Size",1,104508,67.12,30,3215.21,169,3.51,3,318,261,0,0,"Dec, 2023",4,982,3.73
"fujifilm digital camera",2838,Electronics,FBA,"Large Standard-Size",5,50356,442.26,978,69408.24,662,4.30,6,6056,3,-59,0,"Dec, 2023",5,375,1.88
