Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"apple watch 45mm",3293,Electronics,FBM,"Large Standard-Size",18,12843,282.99,795,225676.74,3048,4.46,12,25956,-32,0,-18,"Dec, 2022",8,223,7.45
"audio technica lp60x",3293,Electronics,FBM,"Small Oversize",1,80745,263.1,393,16238.88,2838,4.64,3,4837,34,-99,0,"Dec, 2023",4,129,1.08
"tv cover for outside",3293,Electronics,FBA,"Large Standard-Size",19,24858,44.62,341,14348.93,3439,4.63,2,8825,,13,0,"Sep, 2023",5,324,0.58
"tube amplifier",3293,Electronics,FBA,"Large Standard-Size",1,82032,327.9,40,8122.53,270,4.36,2,540,-55,-56,0,"Mar, 2022",6,625,0.47
"tracker for kids",3293,Electronics,FBA,"Small Standard-Size",4,29459,30.72,6105,260009.47,21226,4.02,2,125749,-17,0,0,"Jan, 2024",8,2000,3.37
"portable cd player for car",3293,Electronics,FBA,"Large Standard-Size",2,18257,60.88,721,28914.12,751,4.14,2,11527,-19,0,0,"Dec, 2023",5,786,2.79
"wonderboom 3",3293,Electronics,Amazon,"Large Standard-Size",5,92749,92.02,692,66937.7,6490,4.59,7,719,46,0,0,"Nov, 2023",3,137,0.25
"power strip with usb",3293,Electronics,FBA,"Large Standard-Size",5,1122,17.66,11353,178957.63,12897,4.74,2,124034,7,32,-3,"Jan, 2024",8,2000,2.02
"surface go",3293,Electronics,FBM,"Large Standard-Size",1,66914,351.22,214,90080.22,444,4.31,5,836,15,0,-3,"Jan, 2024",7,512,6.14
"televisores smart tv 75 pulgadas",3293,Electronics,Amazon,"Special Oversize",10,6989,518.37,1664,457244.11,2876,4.37,11,18633,29,0,-5,"Nov, 2023",2,240,4.06
"google hub",3293,Electronics,FBA,"Large Standard-Size",4,3727,126.41,5270,373165.15,5640,4.30,26,92677,-7,0,13,"Nov, 2023",6,3000,6.58
"harman kardon bluetooth speaker",3293,Electronics,FBM,"Small Oversize",2,47583,177.01,1293,132063.93,8723,4.61,8,9,,8,-11,"Dec, 2023",5,197,0.58
"hangsmart tv mount",3293,Electronics,FBA,"Large Standard-Size",2,8358,26.86,3957,120487.23,9284,4.65,2,2190,,86,0,"Sep, 2023",1,176,1.85
port,3293,Electronics,FBA,"Large Standard-Size",3,6298,15.54,5450,70147.18,21817,4.54,2,122641,2,2,0,"Jan, 2024",10,10000,2.63
"sleep headphones for side sleepers",3293,Electronics,FBA,"Large Standard-Size",7,6892,20.93,2725,50444.4,8496,4.31,3,55196,,0,0,"Dec, 2023",3,853,1.56
"tribit speaker",3293,Electronics,FBA,"Large Standard-Size",4,27381,66.5,2273,88505.08,24703,4.52,3,13846,,-34,0,"Jun, 2023",4,121,0.58
"cruise ship power strip",3293,Electronics,FBA,"Large Standard-Size",3,1669,13.57,3773,52851.63,4070,4.72,1,76417,-34,0,4,"Jan, 2024",4,367,6.95
"portable bluetooth speaker",3293,Electronics,FBA,"Large Standard-Size",10,1888,82.81,4947,247366.12,34187,4.67,7,50971,17,36,2,"Dec, 2023",9,5000,0.35
"optical to rca adapter",3293,Electronics,FBA,"Large Standard-Size",2,22972,17.55,795,11605.91,3203,4.25,2,11317,-20,19,0,"Dec, 2023",4,167,1.29
"sundown audio",3293,Electronics,FBA,"Small Oversize",0,137755,313.21,12,2957.06,48,4.34,4,165,309,-66,0,"Mar, 2022",6,391,0.32
"ethernet splitter 1 to 2",3293,Electronics,FBA,"Large Standard-Size",2,135365,5.69,15,85.35,41,3.70,2,225,,161,-16,"Jul, 2023",3,1000,0.37
"sound bar for tv",3293,Electronics,FBA,"Small Oversize",3,3108,96.93,2136,209723.51,5746,4.32,6,27153,-18,13,0,"Jan, 2024",8,793,1.42
"curved monitor 32+ inch",3293,Electronics,Amazon,"Small Oversize",5,3438,326.8,1669,492918.38,5216,4.48,10,14342,-2,-34,-7,"Jan, 2024",6,445,3.46
"jbl charge essential",3293,Electronics,FBA,"Large Standard-Size",9,25721,73.6,1903,143364.44,14440,4.63,5,19456,25,-46,0,"Dec, 2023",3,133,0.57
yaesu,3293,Electronics,FBM,"Large Standard-Size",0,113252,240,11,2640,170,4.50,5,372,92,-54,4,"Nov, 2022",7,1000,0.06
"kindle signature paperwhite 2023",3293,Electronics,FBM,N/A,3,84022,51.81,1956,58689.08,149,4.70,2,1,,0,-1,"Feb, 2024",3,73,26.23
"sonos beam gen 2",3293,Electronics,FBA,"Small Oversize",3,28304,419.42,727,261303.09,3480,4.45,8,9705,-40,4,16,"Dec, 2023",3,100,0.47
"computer sound bar",3293,Electronics,Amazon,"Small Oversize",3,7422,87.41,2565,119391.68,1138,4.18,4,9144,-15,-4,-1,"Jul, 2023",5,686,1.84
"tiktok scrolling ring",3293,Electronics,FBA,"Large Standard-Size",5,113527,22.25,84,1681.53,38,3.63,2,,,0,0,"Dec, 2023",2,119,1.40
"jaybird vista 2",3293,Electronics,FBA,"Large Standard-Size",5,19977,118.62,3487,425990.63,9947,4.10,3,43105,603,0,-14,"Dec, 2023",2,114,4.40
"anker soundcore earbuds",3293,Electronics,FBA,"Large Standard-Size",3,6502,54.49,2744,133488.06,9517,4.28,2,26493,59,-34,2,"Jan, 2024",5,214,2.51
"tablet for kids 8-12",3293,Electronics,FBA,"Large Standard-Size",7,24823,82.47,1085,92870.36,3501,4.24,1,18886,-52,0,0,"Dec, 2023",4,447,2.06
supernote,3293,Electronics,FBA,"Large Standard-Size",7,31180,239.53,1605,155984.62,8194,4.00,3,3135,59,47,0,"Jan, 2024",3,132,9.64
"jbl live pro 2",3293,Electronics,Amazon,"Large Standard-Size",5,10523,81.93,5302,380481.26,6743,4.32,6,51903,,0,-1,"Nov, 2023",3,129,2.03
"android car stereo",3293,Electronics,FBA,"Large Standard-Size",1,33517,103.64,383,35593.84,1159,3.98,4,5384,11,-36,0,"Mar, 2022",7,7000,0.77
"wall plug",3293,Electronics,FBA,"Large Standard-Size",4,781,10.82,12713,136368.94,20405,4.72,6,142166,533,0,0,"Jan, 2024",9,50000,2.13
"amazon monthly payments items only",3293,Electronics,Amazon,"Large Standard-Size",6,1904,505.83,2834,964196.39,6241,4.49,11,37230,,0,1,"Jan, 2024",2,237,2.12
"ds18 tweeter",3291,Electronics,FBA,"Large Standard-Size",3,61118,47.68,69,4252.6,522,4.40,4,953,16,36,0,"May, 2022",3,248,0.62
"58 inch smart tv",3291,Electronics,FBM,"Large Oversize",8,165170,422.1,2440,311051.22,1369,4.17,12,88,-32,0,-3,"Jan, 2024",4,158,2.44
"lovense lush",3291,Electronics,FBA,"Small Standard-Size",0,9020,17,276,4692,425,4.10,1,3120,2,32,0,"Jun, 2022",6,98,0.65
"under desk cable management tray",3923,Electronics,FBA,"Large Standard-Size",4,7729,25.53,864,19436.7,631,4.59,2,8213,11,92,0,"Jan, 2024",3,603,2.87
"nakamichi dragon 11.4.6 soundbar",3923,Electronics,FBM,"Medium Oversize",5,41293,1092.41,283,184142.18,1219,4.31,11,3133,-11,0,0,"Nov, 2023",1,70,1.53
"display port cable 10 ft",3923,Electronics,Amazon,"Large Standard-Size",7,6953,9.49,1929,15779.48,10230,4.75,4,19261,12,196,0,"Jan, 2023",3,815,0.32
"ticwatch pro 5",3923,Electronics,FBA,"Large Standard-Size",6,32746,177.69,472,98003.78,1967,4.24,4,5158,-23,-60,0,"Jul, 2022",3,143,0.40
"samsung tv 65 inch",3923,Electronics,FBM,"Large Oversize",27,43924,1173.06,324,308500.28,2192,4.35,15,3636,-14,1,0,"Nov, 2023",7,251,0.70
"usb c monitor",3923,Electronics,Amazon,"Small Oversize",5,9109,168.62,2803,335721.79,4253,4.50,9,32683,26,0,17,"Jan, 2024",7,1000,1.01
"shocks headphones",3923,Electronics,FBA,"Large Standard-Size",3,12602,77.19,2423,243322.98,4428,4.25,2,46253,132,0,29,"Jan, 2024",4,143,2.45
"earbuds with ear hooks",3923,Electronics,FBA,"Large Standard-Size",6,2920,44.7,5441,329160.91,13893,4.44,2,91746,,0,4,"Jan, 2024",5,1000,3.31
"kicker earbuds",3923,Electronics,FBA,"Large Standard-Size",4,67284,24.2,2200,42287.81,12720,4.11,2,12221,139,0,0,"Jan, 2024",3,92,3.85
"amazfit watch",3923,Electronics,Amazon,"Large Standard-Size",5,11451,104.98,821,63674.65,5965,4.20,2,8753,-61,-63,12,"Jul, 2022",6,318,1.52
"record players",3923,Electronics,FBA,"Large Standard-Size",8,4139,79.18,1322,91434.74,8159,4.41,5,20710,-3,-89,-7,"Dec, 2023",9,2000,0.67
"lg gaming monitor",3923,Electronics,Amazon,"Small Oversize",3,34607,341.72,804,188261.38,2105,4.46,14,10576,-43,-72,-8,"May, 2022",6,694,1.10
"homepod mini",3923,Electronics,FBA,"Large Standard-Size",3,28466,32.98,11712,564469.32,28240,4.63,2,197432,16,1,0,"Jan, 2024",4,331,0.71
"floor tv stand",3923,Electronics,FBA,"Small Oversize",3,14771,74.92,738,54624.28,2076,4.58,2,14223,23,36,0,"Jan, 2024",6,5000,0.84
"samsung universal remote",3923,Electronics,FBA,"Large Standard-Size",1,10011,10.93,6408,62859.76,9870,4.42,3,75275,429,88,0,"Jan, 2024",6,1000,7.73
"smart watch for women",3923,Electronics,FBA,"Small Standard-Size",7,5487,55.41,1254,55017.21,5515,4.19,2,10238,-37,0,1,"Jan, 2024",8,2000,2.35
"video display glasses",3923,Electronics,FBA,"Large Standard-Size",1,47789,332.58,353,117232.31,154,3.74,2,466,-68,0,0,"Nov, 2023",3,4000,2.35
"charge 5 bands for women",3923,Electronics,FBA,"Small Standard-Size",15,28984,11.94,304,3523.33,759,4.23,1,5250,2579,-41,0,"Jan, 2024",4,2000,1.05
"small digital camera",3923,Electronics,FBA,"Large Standard-Size",7,18684,62.99,1635,89510.27,935,4.26,3,27291,79,0,-7,"Jan, 2024",5,5000,2.43
"laptop screen extender monitor portable",3923,Electronics,FBA,"Large Standard-Size",3,4131,212.04,2246,312276.26,923,4.45,2,50974,46,0,-2,"Jan, 2024",3,765,3.87
"tech gifts",3923,Electronics,FBA,"Large Standard-Size",8,23339,28.27,3378,72501.12,18152,4.46,3,71220,6,-94,0,"Dec, 2023",7,8000,2.01
"airfly pro bluetooth transmitter airplane",3923,Electronics,FBA,"Large Standard-Size",4,2626,39.99,1596,65847.38,2441,4.23,2,28527,83,273,-5,"Jan, 2024",1,116,1.77
"blank cassette tapes",3923,Electronics,FBA,"Small Standard-Size",13,46782,13.77,142,1331.71,218,4.36,11,1209,-2,85,0,"Jan, 2024",5,457,1.21
"pc bluetooth adapter",3923,Electronics,Amazon,"Large Standard-Size",1,691,11.99,6358,76232.42,55970,4.40,12,,,0,5,"Jan, 2024",6,423,0.11
"instax mini 12 film",3923,Electronics,FBA,"Large Standard-Size",2,7336,35.89,3762,71257.68,40926,4.75,6,45076,25,-38,0,"Dec, 2023",4,451,11.47
dragy,3923,Electronics,FBA,"Large Standard-Size",1,344860,290.21,113,16653.58,652,4.14,2,2567,,0,0,"Dec, 2023",3,15,1.38
"true wireless earbuds",3923,Electronics,FBA,"Large Standard-Size",7,3789,40.93,7034,250826.71,46801,4.37,5,59858,,0,-1,"Jan, 2024",8,3000,1.72
"wireless bluetooth headphones",3923,Electronics,FBA,"Large Standard-Size",6,3162,37.27,7074,195514.67,11882,4.31,3,98792,,0,1,"Jan, 2024",9,10000,3.27
"galaxy smart watch",3923,Electronics,FBM,"Large Standard-Size",6,11616,144.84,1174,148946.96,4337,4.40,7,9729,44,-41,7,"Jan, 2024",6,690,1.55
"portable travel monitor for laptop",3923,Electronics,FBA,"Large Standard-Size",3,4216,124.25,3395,350799.67,2156,4.49,7,47411,17,176,5,"Jan, 2024",3,778,2.42
"kyy portable monitor",3923,Electronics,FBA,"Large Standard-Size",4,12974,156.47,3577,375847.32,2100,4.48,2,56230,60,0,-6,"Jan, 2024",3,119,2.52
"skullcandy ear buds earbuds wireless",3923,Electronics,Amazon,"Large Standard-Size",5,7415,35.34,1227,38208.71,10165,4.14,6,20265,257,53,0,"Jan, 2024",2,281,1.96
"njord gear indestructible smartwatch",3923,Electronics,FBA,"Large Standard-Size",4,48004,59.38,571,28932.1,1078,3.85,2,,,0,0,"Jan, 2024",0,109,2.03
"video camera for youtubers",3923,Electronics,FBA,"Large Standard-Size",3,19463,121.2,977,96943.33,2696,4.21,3,19180,-4,0,0,"Jan, 2024",6,749,2.85
"4k monitor 240hz",3923,Electronics,Amazon,"Small Oversize",4,7443,566.92,785,347158.29,3732,4.28,10,15586,140,0,7,"Nov, 2023",4,328,2.80
"fan hub",3923,Electronics,FBA,"Large Standard-Size",2,8297,20.49,266,5127.84,2461,4.40,2,1403,,13,2,"Dec, 2023",6,927,0.18
"odyssey g9",3923,Electronics,Amazon,"Medium Oversize",3,7161,980.63,650,545982.44,3777,4.27,4,15395,-47,-83,-4,"Nov, 2023",5,113,1.53
"nikon z6ii",3923,Electronics,FBM,"Large Standard-Size",1,276984,1910.84,15,24080.85,80,4.60,4,211,-21,0,7,"Nov, 2022",2,149,0.35
atoto,3923,Electronics,FBA,"Large Standard-Size",3,63409,215.25,109,17606.85,572,3.95,1,2654,1,0,0,"Jan, 2023",6,342,1.54
coros,3923,Electronics,FBA,"Large Standard-Size",3,113659,178.05,232,49265.78,881,4.35,3,3418,651,0,0,"Jan, 2024",6,458,1.71
"mp4 player",3923,Electronics,FBA,"Large Standard-Size",8,21282,48.04,326,15897.45,2078,3.98,2,8088,-57,0,0,"Dec, 2023",6,1000,11.11
onn,3923,Electronics,FBA,"Large Standard-Size",1,49450,38.31,764,10661.51,712,4.06,7,12982,81,0,0,"Jan, 2024",8,4000,1.91
"lenovo headphones",3923,Electronics,FBA,"Large Standard-Size",4,25307,36.23,1456,38230.31,4954,4.22,5,16579,1126,0,0,"Jan, 2024",4,2000,3.14
"polaroid go film",3923,Electronics,Amazon,"Large Standard-Size",3,154943,75.98,2498,60787.8,7975,4.28,7,44069,12,-39,0,"Dec, 2023",3,542,2.49
"garmin livescope bundle",3923,Electronics,FBM,"Small Oversize",3,232932,1901.06,36,32897.87,137,4.62,8,398,-40,0,0,"Jan, 2024",3,104,4.13
"headphones for iphone 15",3923,Electronics,FBA,"Large Standard-Size",2,12573,12.58,3226,49433.26,16647,4.20,2,19463,,0,0,"Jan, 2024",5,1000,3.42
"roku projector",3923,Electronics,Amazon,"Large Standard-Size",1,31,39.19,26701,1057814.14,50932,4.70,31,334711,-14,17,38,"Nov, 2022",5,491,0.61
"apple airpod case",3923,Electronics,FBA,"Large Standard-Size",20,3029,13.24,1860,22758.75,13051,4.51,2,23724,-30,29,0,"Jan, 2024",7,5000,1.79
"atem mini pro",3923,Electronics,FBA,"Large Standard-Size",0,64426,356,221,68932.25,475,4.65,12,3274,-34,168,0,"Apr, 2022",3,122,0.97
"canon rebel",3923,Electronics,FBM,"Large Standard-Size",2,51557,566.1,501,261816.98,1768,4.60,6,9046,211,0,4,"Dec, 2022",9,786,2.53
"portable radio am fm",3923,Electronics,FBA,"Large Standard-Size",3,4641,24.57,2297,58875.8,5893,4.32,3,28318,19,0,0,"Jan, 2024",7,1000,1.49
"av receiver",3923,Electronics,FBM,"Small Oversize",2,14355,442.66,463,177315.61,1844,4.36,16,6053,23,-39,4,"Jan, 2024",7,718,0.68
"polaroid camera for kids",3923,Electronics,FBA,"Large Standard-Size",8,13884,66.34,848,45357.55,3790,4.40,5,10255,-30,0,-6,"Dec, 2023",5,281,2.21
"jlab mini earbuds",3923,Electronics,FBA,"Large Standard-Size",5,14997,32.49,3551,72962.98,9523,4.24,3,24053,,0,0,"Jan, 2024",3,194,5.33
"cannon camera",3923,Electronics,FBM,"Large Standard-Size",5,21477,688.65,1734,294395.88,1218,4.56,8,20646,394,0,6,"Dec, 2023",8,2000,12.43
powerstrip,3923,Electronics,FBA,"Large Standard-Size",4,642,18.64,13741,234706.51,14907,4.74,5,157137,0,32,0,"Jan, 2024",6,3000,4.93
"tv mount stand",3923,Electronics,FBA,"Large Standard-Size",1,4528,52.84,3100,115925.44,8496,4.57,2,34409,97,-3,-6,"Jan, 2024",7,2000,1.20
"tv sound bar with subwoofer",3923,Electronics,Amazon,"Small Oversize",4,5260,137.32,1479,215703.85,3919,4.32,5,21757,-14,-24,0,"Dec, 2023",6,735,0.77
"bose wireless headphones",3923,Electronics,Amazon,"Large Standard-Size",7,7296,236.27,3857,850167.55,18133,4.36,4,85906,180,-61,9,"Dec, 2023",8,299,1.75
"running earbuds",3923,Electronics,FBA,"Large Standard-Size",9,2470,66.12,5625,405229.54,18873,4.41,4,74844,,11,0,"Jun, 2023",7,3000,0.99
"wireless bluetooth earbuds",3923,Electronics,FBA,"Large Standard-Size",8,1528,29.75,8398,252985.85,33389,4.45,3,79766,,0,0,"Jan, 2024",9,7000,2.50
"leica camera",3923,Electronics,FBM,"Large Standard-Size",2,256865,4053.36,69,25073.82,363,4.41,5,1227,-52,0,0,"Jul, 2022",6,263,0.23
"lg c3 oled 77",3923,Electronics,FBM,"Special Oversize",14,142805,3056.79,106,246633.61,978,4.36,10,817,-21,-94,0,"Nov, 2023",4,46,1.36
"sony headphones noise cancelling",3923,Electronics,FBA,"Large Standard-Size",3,16148,154.79,2310,375017.97,8305,4.43,9,18266,-76,-28,-6,"Nov, 2022",7,302,1.91
"bluetooth shower speaker",3923,Electronics,FBA,"Large Standard-Size",8,10193,24.71,1545,46959.65,13253,4.41,2,17157,-30,0,6,"Dec, 2023",7,2000,0.51
"wifi jammer",3923,Electronics,FBA,"Large Standard-Size",1,76618,81.13,342,19382.12,644,3.50,2,4911,15,713,0,"Jan, 2024",4,274,4.88
"zip ties 12 inch",3923,Electronics,FBA,"Large Standard-Size",4,9895,11.89,1457,14014.06,4185,4.57,2,27877,-31,-15,0,"May, 2022",4,436,2.67
"vizio soundbar remote replacement",3923,Electronics,FBA,"Small Standard-Size",1,34618,12.48,273,3503.52,751,4.62,2,2891,57,18,0,"Jan, 2023",2,659,1.79
"white gaming monitor",3923,Electronics,Amazon,"Small Oversize",4,38564,213.02,236,38819.09,571,4.43,8,1405,5132,0,0,"Jan, 2024",3,866,2.67
"iphone 15 adapter",3923,Electronics,FBA,"Small Standard-Size",7,4371,8.26,4500,47904.4,19388,4.17,2,105878,-16,0,0,"Jan, 2024",6,4000,13.78
"fake camera",3923,Electronics,FBA,"Large Standard-Size",3,24848,20.41,358,5276.94,1630,4.26,1,3774,74,-9,0,"Jun, 2022",7,169,0.95
"airpods 3rd generation case cover",3923,Electronics,FBA,"Large Standard-Size",19,9007,8.57,1319,9235.73,1512,4.45,2,13207,,0,0,"Jan, 2024",4,3000,5.82
"leica q3",3923,Electronics,FBM,"Large Standard-Size",0,290677,6040.88,4,12462.17,55,4.53,3,106,-70,0,5,"Dec, 2023",3,166,2.52
"hdmi 2.1 monitor",3923,Electronics,Amazon,"Small Oversize",6,19799,394.75,738,165125.66,2413,4.40,12,7286,-19,170,3,"Nov, 2023",5,277,1.76
"personal alarm",3923,Electronics,FBA,"Large Standard-Size",7,13247,17.38,765,16790.02,2525,4.51,3,11482,-20,-41,0,"Dec, 2023",7,534,0.92
"1/4 to 3.5mm adapter",3923,Electronics,FBA,"Small Standard-Size",2,7530,8.25,1630,11496.61,3528,4.63,2,15702,317,617,0,"Jan, 2023",3,1000,1.04
"receivers home theater",3923,Electronics,FBA,"Small Oversize",2,16956,469.44,552,142624.02,1765,4.41,16,6259,25,-39,0,"Mar, 2022",6,4000,1.94
"instax mini photo album",3923,Electronics,FBA,"Large Standard-Size",9,31472,13.07,552,6680.85,1311,4.71,1,6352,9,7,0,"Dec, 2022",5,497,1.74
"polk soundbar",3923,Electronics,Amazon,"Small Oversize",5,41250,349.11,1121,228445.48,3790,4.41,7,12478,-26,-53,0,"Mar, 2022",6,174,2.65
"mevo camera",3923,Electronics,FBM,N/A,2,355226,743.62,2,802.36,30,4.32,1,12,-96,0,0,"Oct, 2023",4,300,0.62
"digital camera cheap",3923,Electronics,FBA,"Large Standard-Size",4,36609,42.22,1313,56226.54,686,4.01,3,18755,6,30,-2,"Jan, 2024",4,5000,2.74
"usb c docking station dual monitor",3923,Electronics,FBA,"Small Standard-Size",3,4343,59.9,2017,123095.63,3054,4.34,4,11352,112,0,-5,"Jan, 2024",4,1000,1.31
"portable monitor touchscreen",3923,Electronics,FBA,"Large Standard-Size",3,29240,154.23,2529,256021.25,2017,4.29,4,37068,-18,0,0,"Jan, 2024",4,1000,1.59
"computer monitor mount",3923,Electronics,FBA,"Large Standard-Size",3,1729,25.21,2559,55043.79,8533,4.58,2,18111,-13,84,4,"Jan, 2024",6,7000,0.60
"bluetooth record player",3923,Electronics,FBA,"Small Oversize",8,5970,100.36,1265,105298.46,8372,4.38,5,19886,-4,-89,0,"Dec, 2023",7,609,0.37
"bluetooth aux",3923,Electronics,FBA,"Large Standard-Size",1,3914,17.99,6215,106143.19,17412,4.43,2,117698,-30,112,0,"May, 2022",8,10000,0.24
"cb radio handheld",3923,Electronics,FBA,"Large Standard-Size",3,29638,164,147,24108,237,4.40,36,1928,,140,0,"Feb, 2023",5,617,0.62
"kicker amp",3923,Electronics,FBM,"Large Standard-Size",1,90855,275.81,49,8726.06,301,4.54,13,670,1331,0,0,"Jan, 2024",7,1000,0.19
"retro bluetooth speaker",3923,Electronics,FBA,"Large Standard-Size",4,34528,30.37,203,4860.91,1067,4.29,2,1024,,-69,0,"Dec, 2023",5,1000,1.08
"4k 144hz monitor",3923,Electronics,Amazon,"Small Oversize",6,16405,450.59,346,125789.09,2086,4.34,11,4208,-36,0,3,"Nov, 2023",6,520,0.93
"skullcandy crusher anc 2",3923,Electronics,FBA,"Large Standard-Size",2,35663,136.16,765,105853.52,2888,4.54,4,11593,-15,0,0,"Jan, 2024",3,107,2.76
"kids polaroid camera",3923,Electronics,FBA,"Large Standard-Size",8,18565,45.96,792,36195.51,3331,4.35,4,11921,-18,0,-7,"Dec, 2023",5,259,2.40
"home theater audio",3923,Electronics,FBA,"Small Oversize",4,18405,499.82,1343,235193.85,2338,4.35,9,19509,-19,0,9,"Jan, 2024",5,2000,2.05
"samsung tab s8",3923,Electronics,FBA,"Large Standard-Size",13,13080,510.94,912,272348.03,4834,4.54,11,14794,-6,-115,-2,"Jun, 2022",5,184,3.11
"pc power cord",3923,Electronics,FBA,"Large Standard-Size",10,19771,9.74,1371,10134.64,5085,4.70,5,10608,119,347,0,"Jan, 2024",5,1000,1.27
"ear buds skullcandy earbuds",3923,Electronics,Amazon,"Large Standard-Size",4,8102,34.35,1184,36742.43,10430,4.17,6,20249,292,53,0,"Jan, 2024",3,291,1.99
"smile zemi learning tablet",3923,Electronics,FBA,"Large Standard-Size",5,34251,73.89,328,16485.13,437,4.13,1,3616,-29,0,-5,"Dec, 2023",2,167,1.56
"sync module 2",3923,Electronics,FBA,"Large Standard-Size",0,2544,9.99,1027,10259.73,1279,4.70,1,3336,,86,-1,"Jan, 2024",5,179,0.81
"car tv",3923,Electronics,FBA,"Large Standard-Size",3,35384,219.11,181,26675.31,1006,4.21,2,4109,-40,-67,0,"Dec, 2023",8,1000,2.29
b650m,3923,Electronics,FBA,"Large Standard-Size",0,102093,109.99,54,5939.46,1,1.00,3,,,0,3,"Jan, 2024",4,126,54.00
"desk cord organizer",3923,Electronics,FBA,"Large Standard-Size",8,2052,15.39,5048,60562.05,11374,4.56,2,66248,-16,134,-6,"Jan, 2024",4,3000,3.89
"instax mini film camera",3923,Electronics,FBA,"Large Standard-Size",6,9142,104.36,2178,93718.23,9329,4.64,10,38360,-10,0,0,"Dec, 2022",6,677,1.71
"30 inch monitor",3923,Electronics,Amazon,"Small Oversize",4,9461,160.68,2142,293084.73,6155,4.50,7,20611,11,-43,-5,"Jan, 2024",5,202,3.17
"radio earpiece",3923,Electronics,FBA,"Small Standard-Size",0,30416,16.8,114,1915.2,550,4.40,2,1458,-23,120,0,"Feb, 2022",7,2000,0.21
phanteks,3923,Electronics,Amazon,"Large Standard-Size",2,124469,100.29,27,778.93,347,4.80,5,2500,-5,-77,60,"Apr, 2023",7,434,2.03
"fire tv stick remote replacement",3923,Electronics,FBA,"Large Standard-Size",2,5197,14.05,1596,24988.54,1028,4.42,5,137013,,0,-10,"Jan, 2024",4,874,26.51
"samsung tv 55 inch",3923,Electronics,FBM,"Large Oversize",25,65349,913.21,268,199123.76,1743,4.42,10,4182,-63,0,1,"Nov, 2023",7,233,1.32
"mi band 8",3923,Electronics,FBA,"Large Standard-Size",3,78100,34.66,181,7561.05,2061,4.34,4,1238,,0,0,"Jan, 2024",3,316,2.11
"nikon z50",3923,Electronics,FBM,"Large Standard-Size",2,233158,1191.42,8,8971.74,179,4.50,3,235,113,0,4,"Dec, 2022",3,142,0.09
"hp sprocket",3923,Electronics,Amazon,"Large Standard-Size",5,52141,92.1,1360,46021.61,5328,4.51,5,16321,37,-61,0,"Dec, 2022",7,107,0.80
"open back headphones",3923,Electronics,FBA,"Large Standard-Size",2,15516,149.36,508,82125.79,4085,4.45,12,9618,79,-37,0,"Nov, 2023",5,1000,0.20
"camara para carro delantera y trasera",3923,Electronics,FBA,"Large Standard-Size",1,5203,72.52,2767,235563.35,4565,4.25,2,31757,63,-32,0,"Dec, 2023",2,197,2.67
"lg ultrawide monitor",3923,Electronics,Amazon,"Small Oversize",2,23453,642.67,595,318930.08,1471,4.42,9,5821,-44,0,13,"Jul, 2022",6,476,3.77
"hp sprocket photo printer paper",3923,Electronics,Amazon,"Large Standard-Size",3,40946,62.56,1300,26554.58,7290,4.51,4,15804,-14,-59,0,"Dec, 2023",4,168,2.58
"galaxy watch 4 classic",3923,Electronics,FBM,"Large Standard-Size",2,47330,126.39,994,57588.97,830,4.36,6,5680,-16,262,0,"Jan, 2024",5,3000,1.60
"samsung remote cover",3923,Electronics,FBA,"Large Standard-Size",7,32258,8.33,220,1713,1290,4.47,2,2904,38,49,0,"Jan, 2024",4,512,1.44
"sony headphones 1000x premium headphones",3923,Electronics,Amazon,"Large Standard-Size",4,11527,191.17,2288,416661.5,7815,4.49,7,15769,-45,-28,4,"Dec, 2023",0,110,1.12
"tablet keyboard",3923,Electronics,FBA,"Large Standard-Size",5,20212,116.24,265,31580.46,840,4.13,2,6178,9,69,-12,"Dec, 2023",8,3000,1.24
"wire cover",3923,Electronics,FBA,"Large Standard-Size",12,1806,13.68,4098,51792.23,10544,4.54,4,43444,-13,146,0,"Mar, 2022",8,2000,1.05
wonderboom,3923,Electronics,FBM,"Large Standard-Size",7,69739,84.51,652,52130.92,6186,4.61,6,863,,0,0,"Dec, 2023",6,153,0.21
"galaxy smart tag",3923,Electronics,FBA,"Small Standard-Size",3,21706,38.97,3234,95868.46,2986,4.38,7,48804,23,-70,0,"Jan, 2024",4,224,5.82
"iptv box",3923,Electronics,FBA,"Large Standard-Size",1,29211,97.83,188,19248.69,1087,4.13,4,1910,24,0,0,"Jan, 2024",7,433,4.25
"car bluetooth",3923,Electronics,FBA,"Large Standard-Size",0,5367,24.49,8637,149104.14,20721,4.30,1,226918,-12,112,0,"May, 2022",10,10000,0.68
alexas,3923,Electronics,FBA,"Small Standard-Size",2,11808,15.39,1134,19871.67,2318,4.05,2,2915,218,-87,2,"Nov, 2023",10,4000,0.46
dslr,3923,Electronics,Amazon,"Large Standard-Size",6,27517,909.09,395,217609.18,1570,4.59,9,6352,115,-46,0,"Dec, 2023",10,2000,1.39
"neckband bluetooth headphones",3923,Electronics,FBA,"Large Standard-Size",4,6134,33.71,1292,54639.44,4561,4.30,4,19237,,0,0,"Jan, 2024",6,780,2.80
